"Full Name","Email","Gender","Age","Logins","Credit","new column"
"Diana Herries","sherries3@google.com.au","Female",42,3,58,"Diana"
"Maira Totaro","mtota21@salento.com","Female",38,2,38.6,"Maira"
"Patrice Gillard","pgillardi@toplist.ch","Male",36,0,308.15,"  Patrice"
"Ferenc Toth","toth.f@ucla.edu","Male",38,1,362.2,"Ferenc"
"Sonja Van Deer","svdeer@indiatimes.com","Female",37,0,88,"Sonja"
"Carolina Diaz","c.diaz.12@elpais.com","Female",38,2,19.99,"Carolina"
"Akshay Bakshi","bakshi.a@unesco.org","Male",79,5,20.48,"Akshay"
"Geraldine Lammas","glammas-11@fda.gov","Female",38,1,5.99,"Geraldine"
"Carmen Broadbear","cbroadbear2f@technorati.com","Female",47,3,257.4,"Carmen"
"Daron Eagger","deagger1983@simpleme.org","Male",38,0,66.22,"  Daron"
"Liam Pasley","lpasley26@usatoday.com","Male",26,3,138.58,"Liam"
"Rey Keilloh","rkeilloh27@unesco.org","Rather not say",38,3,210.35,"Rey"
"Hans Fischer","hansfish@hc360.com","Male",19,3,105.85,"Hans    "
"Nadine De Smet","nadineds22@email.be","Female",45,1,4.38,"Nadine"
